lambda,size_counts
0.873,"{818110.0: 1.0, 2.0: 5916.0, 1.0: 155342.0, 3.0: 1135.0, 4.0: 1872.0, 5.0: 152.0, 7.0: 28.0, 9.0: 183.0, 8.0: 18.0, 19.0: 1.0, 23.0: 2.0, 6.0: 59.0, 12.0: 3.0, 13.0: 3.0, 138.0: 1.0, 11.0: 4.0, 10.0: 7.0, 20.0: 1.0, 16.0: 2.0, 14.0: 4.0, 18.0: 1.0, 29.0: 1.0, 44.0: 1.0, 40.0: 1.0, 28.0: 1.0, 22.0: 1.0, 41.0: 1.0}"
0.873,"{810625.0: 1.0, 1.0: 161890.0, 4.0: 1904.0, 2.0: 6239.0, 3.0: 1198.0, 5.0: 166.0, 9.0: 184.0, 48.0: 1.0, 6.0: 55.0, 10.0: 5.0, 7.0: 30.0, 8.0: 14.0, 25.0: 1.0, 13.0: 4.0, 12.0: 5.0, 16.0: 2.0, 17.0: 3.0, 14.0: 5.0, 15.0: 2.0, 11.0: 2.0, 20.0: 1.0, 24.0: 2.0, 32.0: 1.0, 22.0: 2.0, 19.0: 1.0, 18.0: 1.0, 38.0: 1.0}"
0.873,"{817770.0: 1.0, 3.0: 1146.0, 1.0: 155378.0, 2.0: 5926.0, 4.0: 1894.0, 5.0: 143.0, 13.0: 4.0, 8.0: 25.0, 11.0: 6.0, 9.0: 178.0, 6.0: 59.0, 10.0: 5.0, 25.0: 1.0, 14.0: 2.0, 7.0: 26.0, 42.0: 1.0, 144.0: 1.0, 12.0: 6.0, 17.0: 3.0, 46.0: 2.0, 15.0: 1.0, 92.0: 1.0, 16.0: 1.0, 29.0: 1.0, 48.0: 1.0, 31.0: 1.0, 19.0: 1.0, 23.0: 1.0, 38.0: 1.0}"
0.873,"{810441.0: 1.0, 1.0: 161954.0, 4.0: 1902.0, 2.0: 6221.0, 10.0: 4.0, 3.0: 1232.0, 9.0: 177.0, 5.0: 161.0, 6.0: 67.0, 53.0: 1.0, 7.0: 29.0, 26.0: 1.0, 8.0: 13.0, 16.0: 2.0, 15.0: 3.0, 21.0: 2.0, 14.0: 5.0, 11.0: 3.0, 31.0: 2.0, 20.0: 2.0, 13.0: 2.0, 30.0: 1.0, 76.0: 1.0, 18.0: 2.0, 35.0: 1.0, 12.0: 2.0, 19.0: 1.0, 36.0: 1.0, 27.0: 1.0}"
0.873,"{801151.0: 1.0, 1.0: 169963.0, 4.0: 1940.0, 2.0: 6564.0, 9.0: 171.0, 3.0: 1306.0, 6.0: 79.0, 8.0: 19.0, 5.0: 176.0, 7.0: 40.0, 10.0: 11.0, 11.0: 4.0, 52.0: 1.0, 12.0: 5.0, 17.0: 2.0, 40.0: 1.0, 98.0: 1.0, 18.0: 2.0, 20.0: 1.0, 21.0: 1.0, 41.0: 1.0, 15.0: 2.0, 14.0: 3.0, 51.0: 1.0, 13.0: 3.0, 37.0: 1.0}"
0.873,"{817716.0: 1.0, 1.0: 155441.0, 2.0: 5968.0, 4.0: 1885.0, 5.0: 134.0, 3.0: 1160.0, 7.0: 26.0, 6.0: 59.0, 9.0: 183.0, 8.0: 23.0, 28.0: 1.0, 11.0: 2.0, 40.0: 1.0, 14.0: 3.0, 154.0: 1.0, 17.0: 4.0, 13.0: 4.0, 48.0: 1.0, 12.0: 1.0, 10.0: 7.0, 15.0: 1.0, 84.0: 1.0, 29.0: 1.0, 65.0: 1.0, 51.0: 1.0, 34.0: 1.0, 36.0: 1.0}"
0.873,"{810003.0: 1.0, 1.0: 162278.0, 4.0: 1885.0, 2.0: 6207.0, 5.0: 159.0, 3.0: 1208.0, 9.0: 186.0, 59.0: 1.0, 6.0: 74.0, 7.0: 28.0, 13.0: 5.0, 45.0: 1.0, 8.0: 23.0, 17.0: 2.0, 12.0: 4.0, 18.0: 3.0, 23.0: 1.0, 10.0: 4.0, 30.0: 2.0, 73.0: 1.0, 35.0: 1.0, 19.0: 2.0, 43.0: 1.0, 21.0: 1.0, 34.0: 1.0, 11.0: 2.0, 124.0: 1.0, 16.0: 1.0, 14.0: 1.0}"
0.873,"{818045.0: 1.0, 1.0: 155276.0, 4.0: 1870.0, 2.0: 6052.0, 5.0: 136.0, 3.0: 1120.0, 7.0: 34.0, 6.0: 53.0, 9.0: 181.0, 22.0: 1.0, 8.0: 20.0, 32.0: 1.0, 14.0: 2.0, 10.0: 7.0, 42.0: 1.0, 12.0: 2.0, 33.0: 2.0, 51.0: 1.0, 15.0: 4.0, 11.0: 4.0, 67.0: 1.0, 30.0: 1.0, 17.0: 1.0, 69.0: 1.0, 52.0: 1.0, 36.0: 1.0}"
0.873,"{801588.0: 1.0, 1.0: 170212.0, 4.0: 1968.0, 2.0: 6384.0, 9.0: 174.0, 3.0: 1252.0, 8.0: 26.0, 5.0: 177.0, 6.0: 83.0, 7.0: 29.0, 13.0: 5.0, 10.0: 8.0, 31.0: 1.0, 11.0: 4.0, 18.0: 1.0, 19.0: 1.0, 17.0: 2.0, 48.0: 1.0, 12.0: 2.0, 15.0: 2.0, 14.0: 1.0, 37.0: 1.0}"
0.873,"{800902.0: 1.0, 1.0: 170114.0, 4.0: 1964.0, 2.0: 6610.0, 9.0: 171.0, 3.0: 1272.0, 94.0: 2.0, 6.0: 66.0, 5.0: 168.0, 7.0: 42.0, 8.0: 19.0, 11.0: 6.0, 15.0: 1.0, 38.0: 1.0, 10.0: 6.0, 12.0: 8.0, 37.0: 1.0, 19.0: 1.0, 14.0: 2.0, 17.0: 2.0, 13.0: 3.0, 46.0: 1.0, 40.0: 1.0, 54.0: 1.0, 36.0: 1.0, 24.0: 1.0, 16.0: 1.0, 35.0: 1.0}"
0.873,"{800087.0: 1.0, 2.0: 6640.0, 1.0: 171036.0, 4.0: 1889.0, 9.0: 181.0, 15.0: 3.0, 3.0: 1274.0, 5.0: 171.0, 6.0: 60.0, 7.0: 33.0, 16.0: 3.0, 28.0: 1.0, 10.0: 6.0, 8.0: 22.0, 11.0: 9.0, 14.0: 2.0, 82.0: 1.0, 42.0: 4.0, 22.0: 1.0, 12.0: 3.0, 20.0: 2.0, 33.0: 1.0, 50.0: 1.0, 27.0: 1.0, 70.0: 1.0, 13.0: 4.0, 29.0: 1.0, 32.0: 1.0, 19.0: 1.0}"
0.873,"{817629.0: 1.0, 1.0: 155331.0, 4.0: 1898.0, 2.0: 6030.0, 3.0: 1243.0, 9.0: 186.0, 5.0: 136.0, 6.0: 71.0, 7.0: 27.0, 19.0: 2.0, 8.0: 24.0, 11.0: 2.0, 14.0: 2.0, 20.0: 1.0, 10.0: 8.0, 18.0: 2.0, 16.0: 2.0, 97.0: 1.0, 15.0: 3.0, 28.0: 1.0, 22.0: 1.0, 12.0: 2.0, 26.0: 1.0}"
0.873,"{810372.0: 1.0, 2.0: 6175.0, 1.0: 162022.0, 4.0: 1861.0, 9.0: 186.0, 3.0: 1168.0, 7.0: 35.0, 5.0: 163.0, 6.0: 72.0, 8.0: 36.0, 15.0: 3.0, 120.0: 1.0, 25.0: 1.0, 10.0: 6.0, 30.0: 2.0, 13.0: 5.0, 12.0: 3.0, 17.0: 1.0, 39.0: 1.0, 71.0: 1.0, 184.0: 1.0, 11.0: 1.0, 20.0: 1.0, 19.0: 1.0, 18.0: 1.0, 26.0: 1.0, 24.0: 1.0, 14.0: 1.0}"
