lambda,size_counts
0.875,"{899342.0: 1.0, 1.0: 82045.0, 4.0: 2058.0, 2.0: 2976.0, 3.0: 558.0, 9.0: 246.0, 6.0: 14.0, 5.0: 51.0, 10.0: 2.0, 7.0: 3.0, 13.0: 5.0, 14.0: 1.0, 12.0: 2.0, 15.0: 1.0, 16.0: 1.0, 8.0: 1.0, 19.0: 1.0}"
0.875,"{900168.0: 1.0, 1.0: 80998.0, 4.0: 2077.0, 2.0: 2997.0, 3.0: 608.0, 9.0: 248.0, 8.0: 7.0, 5.0: 38.0, 6.0: 13.0, 16.0: 3.0, 11.0: 1.0, 13.0: 1.0, 7.0: 10.0, 10.0: 1.0}"
0.875,"{899337.0: 1.0, 1.0: 81916.0, 4.0: 2066.0, 2.0: 2965.0, 3.0: 594.0, 9.0: 244.0, 5.0: 44.0, 6.0: 19.0, 7.0: 7.0, 8.0: 5.0, 11.0: 2.0, 13.0: 3.0, 18.0: 1.0, 12.0: 1.0, 15.0: 1.0, 16.0: 1.0, 10.0: 1.0, 20.0: 1.0}"
0.875,"{900251.0: 1.0, 1.0: 80963.0, 4.0: 2071.0, 2.0: 2933.0, 3.0: 632.0, 9.0: 251.0, 6.0: 16.0, 5.0: 41.0, 7.0: 10.0, 16.0: 1.0, 17.0: 2.0, 12.0: 1.0, 8.0: 2.0, 21.0: 1.0, 11.0: 1.0}"
0.875,"{899274.0: 1.0, 1.0: 81892.0, 4.0: 2054.0, 2.0: 2960.0, 3.0: 603.0, 9.0: 248.0, 6.0: 20.0, 5.0: 43.0, 7.0: 12.0, 8.0: 6.0, 37.0: 1.0, 22.0: 1.0, 10.0: 2.0, 12.0: 3.0, 13.0: 2.0, 17.0: 1.0, 11.0: 1.0, 21.0: 1.0}"
0.875,"{900301.0: 1.0, 1.0: 80894.0, 4.0: 2066.0, 2.0: 2997.0, 3.0: 583.0, 9.0: 251.0, 5.0: 35.0, 7.0: 8.0, 6.0: 28.0, 16.0: 1.0, 8.0: 5.0, 11.0: 4.0, 12.0: 1.0, 18.0: 1.0, 10.0: 1.0}"
0.875,"{900288.0: 1.0, 1.0: 80976.0, 4.0: 2065.0, 2.0: 2927.0, 3.0: 593.0, 9.0: 250.0, 7.0: 7.0, 49.0: 1.0, 5.0: 43.0, 17.0: 1.0, 6.0: 14.0, 25.0: 1.0, 11.0: 1.0, 27.0: 1.0, 8.0: 10.0, 12.0: 1.0, 24.0: 1.0}"
0.875,"{899407.0: 1.0, 1.0: 81830.0, 4.0: 2069.0, 2.0: 2935.0, 3.0: 622.0, 9.0: 248.0, 5.0: 32.0, 7.0: 6.0, 6.0: 19.0, 19.0: 3.0, 32.0: 1.0, 10.0: 3.0, 8.0: 4.0, 11.0: 1.0, 17.0: 1.0, 12.0: 2.0}"
0.875,"{900302.0: 1.0, 1.0: 80984.0, 4.0: 2080.0, 2.0: 2950.0, 3.0: 565.0, 9.0: 252.0, 5.0: 49.0, 8.0: 3.0, 51.0: 1.0, 10.0: 1.0, 6.0: 14.0, 14.0: 2.0, 26.0: 1.0, 24.0: 1.0, 7.0: 4.0, 11.0: 1.0}"
0.875,"{899407.0: 1.0, 1.0: 81725.0, 4.0: 2071.0, 2.0: 2965.0, 3.0: 598.0, 9.0: 245.0, 5.0: 41.0, 7.0: 7.0, 6.0: 17.0, 10.0: 7.0, 21.0: 1.0, 8.0: 11.0, 15.0: 2.0, 13.0: 1.0, 20.0: 2.0, 12.0: 1.0, 25.0: 1.0}"
0.875,"{900347.0: 1.0, 1.0: 80937.0, 4.0: 2063.0, 2.0: 2946.0, 3.0: 580.0, 9.0: 251.0, 8.0: 9.0, 57.0: 1.0, 5.0: 44.0, 14.0: 2.0, 7.0: 6.0, 23.0: 1.0, 6.0: 14.0, 12.0: 2.0, 13.0: 1.0, 10.0: 1.0}"
0.875,"{900122.0: 1.0, 1.0: 81165.0, 4.0: 2070.0, 2.0: 2969.0, 3.0: 612.0, 9.0: 246.0, 5.0: 47.0, 6.0: 15.0, 7.0: 6.0, 14.0: 1.0, 17.0: 1.0, 13.0: 1.0, 8.0: 3.0, 10.0: 1.0}"
0.875,"{899982.0: 1.0, 1.0: 81227.0, 4.0: 2071.0, 2.0: 2993.0, 3.0: 628.0, 9.0: 246.0, 5.0: 43.0, 7.0: 6.0, 8.0: 3.0, 17.0: 1.0, 6.0: 14.0, 10.0: 1.0, 13.0: 1.0, 18.0: 1.0}"
0.875,"{899676.0: 1.0, 1.0: 81688.0, 4.0: 2057.0, 2.0: 2916.0, 3.0: 608.0, 5.0: 43.0, 9.0: 245.0, 10.0: 3.0, 6.0: 18.0, 8.0: 8.0, 13.0: 1.0, 16.0: 1.0, 14.0: 2.0, 23.0: 1.0, 7.0: 5.0, 15.0: 1.0}"
0.875,"{899906.0: 1.0, 1.0: 81205.0, 4.0: 2089.0, 2.0: 3009.0, 3.0: 622.0, 5.0: 36.0, 9.0: 251.0, 8.0: 3.0, 6.0: 13.0, 7.0: 7.0, 17.0: 2.0, 15.0: 1.0, 10.0: 1.0}"
0.875,"{898723.0: 1.0, 1.0: 82631.0, 4.0: 2072.0, 2.0: 2943.0, 3.0: 618.0, 9.0: 242.0, 5.0: 31.0, 6.0: 15.0, 7.0: 11.0, 8.0: 10.0, 13.0: 1.0, 11.0: 1.0, 14.0: 1.0}"
0.875,"{900748.0: 1.0, 1.0: 80454.0, 4.0: 2082.0, 2.0: 2958.0, 3.0: 620.0, 9.0: 248.0, 5.0: 44.0, 6.0: 22.0, 11.0: 4.0, 7.0: 5.0, 10.0: 1.0, 13.0: 1.0, 8.0: 1.0}"
0.875,"{900650.0: 1.0, 1.0: 80443.0, 4.0: 2080.0, 2.0: 2981.0, 3.0: 640.0, 9.0: 246.0, 8.0: 9.0, 5.0: 40.0, 7.0: 10.0, 6.0: 9.0, 14.0: 1.0, 12.0: 2.0, 13.0: 2.0, 31.0: 1.0}"
0.875,"{898804.0: 1.0, 1.0: 82539.0, 4.0: 2069.0, 2.0: 2924.0, 3.0: 636.0, 9.0: 246.0, 5.0: 38.0, 6.0: 12.0, 7.0: 9.0, 19.0: 1.0, 8.0: 5.0, 10.0: 1.0, 17.0: 1.0}"
0.875,"{900644.0: 1.0, 1.0: 80411.0, 4.0: 2082.0, 2.0: 2995.0, 3.0: 644.0, 9.0: 246.0, 6.0: 19.0, 5.0: 29.0, 12.0: 1.0, 7.0: 7.0, 13.0: 2.0, 8.0: 7.0, 10.0: 2.0, 30.0: 1.0, 18.0: 1.0, 11.0: 1.0}"
0.875,"{898892.0: 1.0, 1.0: 82353.0, 4.0: 2065.0, 2.0: 2947.0, 3.0: 611.0, 9.0: 244.0, 7.0: 13.0, 5.0: 59.0, 6.0: 10.0, 8.0: 6.0, 14.0: 1.0, 18.0: 1.0, 19.0: 1.0, 27.0: 1.0}"
0.875,"{900521.0: 1.0, 1.0: 80578.0, 4.0: 2085.0, 2.0: 2920.0, 3.0: 643.0, 9.0: 250.0, 5.0: 43.0, 6.0: 13.0, 10.0: 3.0, 23.0: 1.0, 7.0: 8.0, 19.0: 2.0, 14.0: 2.0, 8.0: 4.0, 31.0: 1.0, 11.0: 1.0}"
0.875,"{900447.0: 1.0, 1.0: 80626.0, 4.0: 2084.0, 2.0: 2953.0, 3.0: 624.0, 9.0: 249.0, 5.0: 42.0, 8.0: 3.0, 6.0: 13.0, 7.0: 7.0, 21.0: 1.0, 15.0: 2.0, 12.0: 1.0, 32.0: 1.0, 10.0: 4.0, 46.0: 1.0, 19.0: 1.0, 11.0: 1.0}"
0.875,"{899031.0: 1.0, 1.0: 82217.0, 4.0: 2062.0, 2.0: 2956.0, 3.0: 627.0, 9.0: 242.0, 6.0: 11.0, 10.0: 3.0, 5.0: 46.0, 8.0: 7.0, 7.0: 6.0, 11.0: 1.0, 17.0: 1.0, 14.0: 1.0, 54.0: 1.0, 13.0: 1.0}"
0.875,"{900507.0: 1.0, 1.0: 80688.0, 4.0: 2087.0, 2.0: 2954.0, 3.0: 618.0, 9.0: 250.0, 7.0: 3.0, 6.0: 14.0, 5.0: 32.0, 17.0: 1.0, 12.0: 1.0, 13.0: 2.0, 8.0: 2.0, 16.0: 1.0, 11.0: 1.0, 33.0: 1.0, 10.0: 2.0, 29.0: 1.0}"
0.875,"{900691.0: 1.0, 1.0: 80550.0, 4.0: 2094.0, 2.0: 2908.0, 3.0: 623.0, 6.0: 12.0, 9.0: 249.0, 8.0: 3.0, 7.0: 7.0, 5.0: 38.0, 16.0: 1.0, 13.0: 2.0, 14.0: 1.0, 35.0: 1.0, 31.0: 1.0}"
0.875,"{899137.0: 1.0, 1.0: 82054.0, 4.0: 2079.0, 2.0: 3001.0, 3.0: 616.0, 9.0: 248.0, 5.0: 39.0, 6.0: 12.0, 8.0: 4.0, 16.0: 1.0, 12.0: 2.0, 10.0: 1.0, 7.0: 7.0, 13.0: 1.0}"
0.875,"{900753.0: 1.0, 1.0: 80577.0, 4.0: 2064.0, 2.0: 2945.0, 3.0: 644.0, 9.0: 247.0, 6.0: 14.0, 5.0: 36.0, 7.0: 4.0, 11.0: 1.0, 10.0: 1.0, 8.0: 2.0, 15.0: 1.0, 25.0: 1.0}"
0.875,"{900779.0: 1.0, 1.0: 80595.0, 4.0: 2079.0, 2.0: 2932.0, 3.0: 607.0, 9.0: 248.0, 8.0: 4.0, 5.0: 26.0, 6.0: 15.0, 14.0: 1.0, 7.0: 4.0, 11.0: 1.0, 10.0: 2.0, 33.0: 1.0, 35.0: 1.0}"
0.875,"{899269.0: 1.0, 1.0: 81977.0, 4.0: 2067.0, 2.0: 3015.0, 3.0: 593.0, 6.0: 21.0, 9.0: 245.0, 5.0: 33.0, 11.0: 2.0, 10.0: 5.0, 16.0: 1.0, 7.0: 5.0, 8.0: 1.0, 12.0: 1.0, 24.0: 1.0, 14.0: 1.0}"
0.875,"{900825.0: 1.0, 1.0: 80629.0, 4.0: 2073.0, 2.0: 2866.0, 3.0: 630.0, 5.0: 35.0, 9.0: 248.0, 6.0: 12.0, 7.0: 9.0, 8.0: 7.0, 18.0: 1.0, 16.0: 1.0}"
0.875,"{899296.0: 1.0, 1.0: 81856.0, 4.0: 2067.0, 2.0: 2994.0, 3.0: 600.0, 9.0: 244.0, 5.0: 42.0, 18.0: 1.0, 12.0: 3.0, 6.0: 18.0, 7.0: 8.0, 10.0: 3.0, 8.0: 6.0, 55.0: 1.0, 22.0: 1.0, 13.0: 1.0}"
0.875,"{900529.0: 1.0, 1.0: 80742.0, 4.0: 2088.0, 2.0: 2851.0, 3.0: 636.0, 9.0: 247.0, 5.0: 36.0, 6.0: 22.0, 7.0: 7.0, 16.0: 1.0, 8.0: 9.0, 19.0: 1.0, 20.0: 1.0, 11.0: 1.0, 10.0: 2.0, 13.0: 1.0, 12.0: 1.0}"
0.875,"{900226.0: 1.0, 1.0: 80858.0, 4.0: 2099.0, 2.0: 2897.0, 3.0: 638.0, 9.0: 249.0, 6.0: 18.0, 7.0: 13.0, 13.0: 1.0, 5.0: 36.0, 8.0: 10.0, 14.0: 1.0, 22.0: 1.0, 33.0: 1.0, 10.0: 3.0}"
0.875,"{899383.0: 1.0, 1.0: 81817.0, 4.0: 2078.0, 2.0: 2962.0, 3.0: 612.0, 9.0: 244.0, 6.0: 17.0, 7.0: 10.0, 14.0: 1.0, 5.0: 39.0, 10.0: 2.0, 12.0: 1.0, 8.0: 6.0, 15.0: 1.0, 11.0: 1.0, 20.0: 1.0, 25.0: 1.0}"
0.875,"{900057.0: 1.0, 1.0: 80908.0, 4.0: 2088.0, 2.0: 2995.0, 3.0: 652.0, 9.0: 251.0, 6.0: 20.0, 5.0: 30.0, 8.0: 8.0, 21.0: 1.0, 7.0: 9.0, 11.0: 2.0, 28.0: 1.0, 10.0: 1.0}"
0.875,"{900056.0: 1.0, 1.0: 81088.0, 4.0: 2085.0, 2.0: 2961.0, 3.0: 641.0, 5.0: 37.0, 9.0: 253.0, 6.0: 15.0, 8.0: 3.0, 25.0: 1.0, 7.0: 5.0, 12.0: 1.0, 23.0: 1.0}"
0.875,"{899385.0: 1.0, 1.0: 81818.0, 4.0: 2055.0, 2.0: 2967.0, 3.0: 614.0, 9.0: 248.0, 13.0: 2.0, 5.0: 42.0, 6.0: 19.0, 18.0: 2.0, 8.0: 6.0, 11.0: 2.0, 7.0: 5.0, 10.0: 2.0, 30.0: 1.0, 28.0: 1.0}"
0.875,"{900011.0: 1.0, 1.0: 81034.0, 4.0: 2081.0, 2.0: 3031.0, 3.0: 628.0, 5.0: 25.0, 9.0: 251.0, 6.0: 15.0, 13.0: 2.0, 8.0: 6.0, 24.0: 1.0, 7.0: 6.0, 25.0: 1.0, 20.0: 1.0, 12.0: 1.0, 14.0: 1.0}"
0.875,"{899891.0: 1.0, 1.0: 81176.0, 4.0: 2066.0, 2.0: 3009.0, 3.0: 621.0, 9.0: 253.0, 5.0: 44.0, 6.0: 22.0, 10.0: 2.0, 8.0: 2.0, 7.0: 8.0, 11.0: 1.0, 28.0: 1.0, 15.0: 1.0, 13.0: 1.0}"
0.875,"{899507.0: 1.0, 1.0: 81720.0, 4.0: 2076.0, 2.0: 2952.0, 3.0: 609.0, 6.0: 23.0, 9.0: 249.0, 5.0: 35.0, 7.0: 4.0, 20.0: 1.0, 10.0: 1.0, 8.0: 3.0, 12.0: 1.0, 15.0: 1.0, 27.0: 1.0, 18.0: 1.0, 30.0: 1.0}"
0.875,"{900805.0: 1.0, 1.0: 80565.0, 4.0: 2074.0, 2.0: 2920.0, 3.0: 618.0, 9.0: 249.0, 6.0: 14.0, 5.0: 35.0, 7.0: 5.0, 15.0: 1.0, 8.0: 3.0, 33.0: 1.0, 12.0: 1.0, 11.0: 1.0, 10.0: 1.0}"
0.875,"{896208.0: 1.0, 1.0: 84747.0, 6.0: 26.0, 2.0: 3012.0, 4.0: 2018.0, 3.0: 670.0, 9.0: 254.0, 5.0: 54.0, 7.0: 9.0, 8.0: 7.0, 12.0: 3.0, 10.0: 1.0, 13.0: 1.0, 14.0: 2.0, 21.0: 1.0}"
0.875,"{896923.0: 1.0, 1.0: 83737.0, 4.0: 2078.0, 2.0: 3105.0, 3.0: 644.0, 9.0: 252.0, 5.0: 47.0, 12.0: 4.0, 6.0: 16.0, 8.0: 6.0, 7.0: 8.0, 19.0: 1.0, 15.0: 2.0, 46.0: 1.0, 11.0: 2.0, 18.0: 1.0}"
0.875,"{897247.0: 1.0, 1.0: 83747.0, 4.0: 2072.0, 2.0: 3022.0, 3.0: 644.0, 9.0: 250.0, 5.0: 37.0, 7.0: 13.0, 6.0: 16.0, 13.0: 1.0, 15.0: 1.0, 8.0: 5.0, 23.0: 1.0, 11.0: 1.0, 18.0: 1.0}"
0.875,"{900836.0: 1.0, 1.0: 80374.0, 4.0: 2096.0, 2.0: 2913.0, 3.0: 604.0, 9.0: 240.0, 5.0: 42.0, 7.0: 10.0, 19.0: 1.0, 6.0: 24.0, 8.0: 5.0, 15.0: 1.0, 14.0: 3.0, 29.0: 1.0, 17.0: 1.0, 11.0: 2.0}"
0.875,"{896311.0: 1.0, 1.0: 84603.0, 2.0: 3093.0, 4.0: 2047.0, 3.0: 648.0, 8.0: 4.0, 9.0: 249.0, 5.0: 32.0, 6.0: 19.0, 24.0: 1.0, 7.0: 8.0, 11.0: 2.0, 10.0: 3.0, 29.0: 1.0, 20.0: 1.0, 40.0: 1.0}"
0.875,"{896326.0: 1.0, 1.0: 84601.0, 2.0: 3103.0, 4.0: 2035.0, 3.0: 637.0, 9.0: 250.0, 5.0: 51.0, 6.0: 16.0, 7.0: 9.0, 8.0: 2.0, 12.0: 2.0, 19.0: 1.0, 10.0: 1.0, 35.0: 1.0, 37.0: 1.0, 11.0: 1.0}"
0.875,"{896294.0: 1.0, 1.0: 84570.0, 2.0: 3048.0, 4.0: 2061.0, 3.0: 639.0, 5.0: 50.0, 9.0: 247.0, 11.0: 3.0, 8.0: 7.0, 7.0: 8.0, 6.0: 22.0, 25.0: 1.0, 14.0: 1.0, 10.0: 2.0, 34.0: 1.0, 36.0: 1.0}"
0.875,"{896258.0: 1.0, 1.0: 84723.0, 2.0: 3085.0, 4.0: 2051.0, 3.0: 621.0, 9.0: 245.0, 6.0: 17.0, 5.0: 46.0, 11.0: 2.0, 7.0: 9.0, 10.0: 1.0, 13.0: 4.0, 8.0: 4.0, 35.0: 1.0, 31.0: 1.0}"
0.875,"{900799.0: 1.0, 1.0: 80548.0, 4.0: 2125.0, 2.0: 2838.0, 3.0: 581.0, 9.0: 246.0, 5.0: 37.0, 8.0: 6.0, 15.0: 1.0, 6.0: 15.0, 7.0: 9.0, 10.0: 4.0, 14.0: 1.0, 29.0: 1.0, 36.0: 1.0}"
0.875,"{896181.0: 1.0, 1.0: 84799.0, 2.0: 3044.0, 4.0: 2051.0, 3.0: 635.0, 5.0: 43.0, 9.0: 243.0, 10.0: 1.0, 7.0: 7.0, 6.0: 17.0, 8.0: 12.0, 12.0: 2.0, 13.0: 2.0, 35.0: 1.0, 42.0: 1.0, 23.0: 1.0, 14.0: 1.0}"
0.875,"{896032.0: 1.0, 1.0: 84690.0, 7.0: 10.0, 2.0: 3097.0, 4.0: 2038.0, 3.0: 676.0, 5.0: 51.0, 9.0: 245.0, 6.0: 16.0, 12.0: 6.0, 10.0: 3.0, 8.0: 8.0, 14.0: 1.0, 36.0: 1.0, 31.0: 1.0, 20.0: 1.0, 11.0: 1.0}"
0.875,"{896104.0: 1.0, 1.0: 84866.0, 4.0: 2035.0, 2.0: 3084.0, 3.0: 637.0, 8.0: 8.0, 9.0: 245.0, 7.0: 7.0, 5.0: 52.0, 10.0: 3.0, 6.0: 16.0, 13.0: 1.0, 14.0: 1.0, 11.0: 2.0, 40.0: 1.0, 18.0: 1.0}"
0.875,"{900629.0: 1.0, 1.0: 80590.0, 4.0: 2124.0, 2.0: 2874.0, 3.0: 572.0, 9.0: 241.0, 5.0: 43.0, 6.0: 18.0, 8.0: 11.0, 11.0: 1.0, 7.0: 9.0, 10.0: 3.0, 15.0: 2.0, 14.0: 1.0, 27.0: 1.0, 20.0: 1.0, 34.0: 1.0, 12.0: 1.0}"
0.875,"{896039.0: 1.0, 1.0: 84936.0, 2.0: 3050.0, 4.0: 2029.0, 3.0: 641.0, 6.0: 17.0, 5.0: 46.0, 9.0: 248.0, 8.0: 5.0, 7.0: 12.0, 10.0: 4.0, 13.0: 1.0, 19.0: 1.0, 11.0: 1.0, 15.0: 1.0, 12.0: 1.0, 43.0: 1.0, 14.0: 2.0, 17.0: 1.0}"
0.875,"{896085.0: 1.0, 1.0: 84972.0, 2.0: 3064.0, 4.0: 2028.0, 3.0: 629.0, 9.0: 249.0, 5.0: 44.0, 10.0: 3.0, 7.0: 11.0, 6.0: 23.0, 8.0: 4.0, 13.0: 3.0, 11.0: 1.0, 16.0: 1.0, 12.0: 1.0}"
0.875,"{896024.0: 1.0, 1.0: 84975.0, 2.0: 3001.0, 4.0: 2048.0, 3.0: 658.0, 9.0: 249.0, 6.0: 17.0, 7.0: 12.0, 5.0: 38.0, 8.0: 7.0, 13.0: 1.0, 10.0: 2.0, 11.0: 3.0, 12.0: 1.0, 18.0: 1.0, 15.0: 1.0, 49.0: 1.0}"
0.875,"{896104.0: 1.0, 1.0: 84916.0, 2.0: 3000.0, 4.0: 2047.0, 3.0: 663.0, 9.0: 247.0, 7.0: 8.0, 5.0: 37.0, 10.0: 3.0, 8.0: 6.0, 6.0: 20.0, 14.0: 1.0, 12.0: 1.0, 11.0: 2.0, 22.0: 2.0, 49.0: 1.0}"
0.875,"{896311.0: 1.0, 1.0: 84631.0, 2.0: 3049.0, 4.0: 2050.0, 3.0: 659.0, 9.0: 246.0, 7.0: 10.0, 5.0: 44.0, 6.0: 23.0, 19.0: 1.0, 11.0: 1.0, 12.0: 1.0, 8.0: 4.0, 18.0: 1.0, 49.0: 1.0}"
0.875,"{900608.0: 1.0, 1.0: 80696.0, 4.0: 2104.0, 2.0: 2924.0, 3.0: 582.0, 9.0: 240.0, 5.0: 41.0, 8.0: 4.0, 7.0: 17.0, 6.0: 12.0, 10.0: 3.0, 14.0: 1.0, 12.0: 1.0, 20.0: 1.0, 11.0: 2.0}"
0.875,"{896436.0: 1.0, 1.0: 84557.0, 2.0: 3054.0, 4.0: 2032.0, 3.0: 665.0, 9.0: 246.0, 5.0: 49.0, 7.0: 4.0, 6.0: 15.0, 8.0: 5.0, 19.0: 1.0, 12.0: 2.0, 41.0: 1.0, 15.0: 1.0, 11.0: 1.0, 49.0: 1.0}"
0.875,"{896536.0: 1.0, 1.0: 84630.0, 2.0: 3001.0, 4.0: 2043.0, 3.0: 624.0, 9.0: 247.0, 6.0: 17.0, 5.0: 48.0, 8.0: 5.0, 7.0: 6.0, 18.0: 1.0, 12.0: 1.0, 40.0: 1.0, 11.0: 1.0, 10.0: 1.0, 50.0: 1.0}"
0.875,"{896556.0: 1.0, 1.0: 84587.0, 2.0: 2993.0, 4.0: 2042.0, 3.0: 629.0, 5.0: 46.0, 9.0: 246.0, 11.0: 2.0, 6.0: 19.0, 8.0: 7.0, 14.0: 2.0, 7.0: 4.0, 12.0: 2.0, 40.0: 1.0, 10.0: 1.0, 50.0: 1.0}"
0.875,"{900475.0: 1.0, 1.0: 80807.0, 4.0: 2099.0, 2.0: 2948.0, 3.0: 590.0, 9.0: 242.0, 5.0: 39.0, 6.0: 11.0, 7.0: 9.0, 10.0: 1.0, 27.0: 1.0, 15.0: 2.0, 21.0: 1.0, 8.0: 3.0, 11.0: 2.0, 20.0: 1.0}"
0.875,"{896662.0: 1.0, 1.0: 84489.0, 2.0: 3022.0, 4.0: 2039.0, 3.0: 630.0, 9.0: 249.0, 7.0: 11.0, 8.0: 2.0, 5.0: 37.0, 6.0: 13.0, 11.0: 3.0, 10.0: 1.0, 14.0: 1.0, 15.0: 1.0, 38.0: 1.0, 52.0: 1.0}"
0.875,"{896669.0: 1.0, 1.0: 84355.0, 2.0: 3041.0, 4.0: 2031.0, 3.0: 623.0, 9.0: 247.0, 8.0: 6.0, 22.0: 1.0, 5.0: 55.0, 6.0: 16.0, 7.0: 7.0, 10.0: 3.0, 11.0: 1.0, 32.0: 1.0, 16.0: 1.0, 20.0: 1.0, 15.0: 1.0, 12.0: 1.0, 52.0: 1.0}"
0.875,"{896708.0: 1.0, 1.0: 84275.0, 2.0: 3046.0, 4.0: 2025.0, 3.0: 638.0, 9.0: 249.0, 24.0: 2.0, 5.0: 48.0, 6.0: 19.0, 10.0: 3.0, 8.0: 6.0, 7.0: 10.0, 15.0: 1.0, 18.0: 1.0, 13.0: 1.0, 20.0: 1.0, 54.0: 1.0}"
0.875,"{900314.0: 1.0, 1.0: 80970.0, 4.0: 2111.0, 2.0: 2933.0, 3.0: 596.0, 9.0: 241.0, 5.0: 29.0, 6.0: 13.0, 7.0: 9.0, 13.0: 1.0, 27.0: 1.0, 18.0: 1.0, 20.0: 1.0, 10.0: 1.0, 21.0: 1.0, 8.0: 5.0, 14.0: 1.0}"
0.875,"{896665.0: 1.0, 1.0: 84238.0, 2.0: 3054.0, 4.0: 2046.0, 3.0: 640.0, 9.0: 245.0, 24.0: 1.0, 5.0: 63.0, 6.0: 17.0, 8.0: 2.0, 7.0: 8.0, 15.0: 1.0, 13.0: 1.0, 12.0: 1.0, 19.0: 1.0, 20.0: 1.0, 22.0: 1.0, 11.0: 1.0, 55.0: 1.0}"
0.875,"{896342.0: 1.0, 1.0: 84582.0, 2.0: 3046.0, 4.0: 2052.0, 3.0: 646.0, 5.0: 45.0, 12.0: 2.0, 9.0: 250.0, 6.0: 22.0, 11.0: 1.0, 7.0: 6.0, 24.0: 1.0, 8.0: 6.0, 28.0: 1.0, 25.0: 1.0, 29.0: 1.0}"
0.875,"{896802.0: 1.0, 1.0: 84173.0, 2.0: 3060.0, 4.0: 2044.0, 3.0: 652.0, 9.0: 248.0, 5.0: 47.0, 25.0: 1.0, 7.0: 9.0, 6.0: 14.0, 8.0: 7.0, 18.0: 1.0, 60.0: 1.0}"
0.875,"{896442.0: 1.0, 1.0: 84505.0, 2.0: 3071.0, 4.0: 2052.0, 3.0: 644.0, 9.0: 245.0, 5.0: 36.0, 6.0: 20.0, 10.0: 6.0, 7.0: 9.0, 24.0: 1.0, 11.0: 1.0, 8.0: 3.0, 29.0: 1.0, 25.0: 1.0, 18.0: 1.0, 12.0: 1.0}"
0.875,"{900883.0: 1.0, 1.0: 80393.0, 4.0: 2117.0, 2.0: 2926.0, 3.0: 568.0, 9.0: 243.0, 13.0: 2.0, 5.0: 38.0, 8.0: 4.0, 7.0: 6.0, 21.0: 1.0, 6.0: 16.0, 11.0: 3.0, 14.0: 1.0, 31.0: 1.0, 18.0: 1.0, 10.0: 1.0}"
0.875,"{895576.0: 1.0, 1.0: 85565.0, 4.0: 2017.0, 2.0: 3043.0, 3.0: 635.0, 21.0: 1.0, 11.0: 1.0, 9.0: 251.0, 5.0: 39.0, 7.0: 10.0, 6.0: 21.0, 8.0: 9.0, 10.0: 2.0, 13.0: 2.0}"
0.875,"{901094.0: 1.0, 1.0: 80093.0, 4.0: 2120.0, 2.0: 2902.0, 3.0: 577.0, 9.0: 242.0, 5.0: 32.0, 7.0: 7.0, 12.0: 2.0, 8.0: 9.0, 6.0: 15.0, 18.0: 1.0, 10.0: 2.0, 83.0: 1.0, 61.0: 1.0, 29.0: 1.0, 14.0: 1.0}"
0.875,"{895719.0: 1.0, 1.0: 85491.0, 4.0: 2030.0, 2.0: 3019.0, 3.0: 607.0, 7.0: 13.0, 9.0: 250.0, 5.0: 34.0, 6.0: 28.0, 10.0: 2.0, 8.0: 5.0, 14.0: 1.0, 13.0: 1.0, 45.0: 1.0}"
0.875,"{895748.0: 1.0, 1.0: 85403.0, 4.0: 2033.0, 2.0: 3027.0, 3.0: 619.0, 7.0: 15.0, 9.0: 251.0, 6.0: 19.0, 5.0: 41.0, 10.0: 2.0, 8.0: 5.0, 13.0: 1.0, 12.0: 1.0, 15.0: 1.0, 23.0: 1.0}"
0.875,"{895678.0: 1.0, 1.0: 85330.0, 4.0: 2043.0, 2.0: 3068.0, 3.0: 628.0, 7.0: 7.0, 9.0: 248.0, 5.0: 49.0, 6.0: 19.0, 10.0: 1.0, 11.0: 3.0, 8.0: 9.0, 12.0: 2.0, 21.0: 1.0}"
0.875,"{895576.0: 1.0, 1.0: 85329.0, 4.0: 2045.0, 2.0: 3090.0, 3.0: 639.0, 7.0: 6.0, 9.0: 251.0, 5.0: 58.0, 8.0: 7.0, 6.0: 10.0, 20.0: 1.0, 11.0: 2.0, 17.0: 1.0, 10.0: 2.0, 18.0: 1.0, 14.0: 1.0}"
0.875,"{895571.0: 1.0, 1.0: 85394.0, 4.0: 2053.0, 2.0: 3119.0, 3.0: 617.0, 7.0: 4.0, 9.0: 251.0, 5.0: 49.0, 6.0: 13.0, 8.0: 8.0, 11.0: 3.0, 17.0: 1.0, 10.0: 1.0}"
0.875,"{901141.0: 1.0, 1.0: 80064.0, 4.0: 2101.0, 2.0: 2917.0, 3.0: 589.0, 9.0: 242.0, 5.0: 39.0, 6.0: 24.0, 7.0: 11.0, 8.0: 4.0, 17.0: 1.0, 10.0: 1.0, 11.0: 1.0, 58.0: 1.0, 14.0: 2.0, 40.0: 1.0}"
0.875,"{895714.0: 1.0, 1.0: 85374.0, 4.0: 2043.0, 2.0: 3103.0, 3.0: 611.0, 7.0: 7.0, 9.0: 247.0, 5.0: 59.0, 8.0: 2.0, 6.0: 11.0, 18.0: 1.0, 14.0: 1.0, 10.0: 2.0}"
