lambda,mean_M,mean_M2,avg_max_cluster_size,median_max_cluster_size,avg_second_max_cluster_size,max_key,chi
0.8138999999999985,0.9828066187493006,0.9659089106777952,183.23392380952384,178.0,157.31481428571428,440.0,6.082036196897178e-08
0.8139999999999985,0.982697464407285,0.965694364501139,184.60780952380952,179.0,158.43952380952382,391.0,5.7948631781989945e-08
0.8140999999999985,0.982601345632871,0.96550546501053,185.8734761904762,180.0,159.5585523809524,363.0,6.057100110368197e-08
0.8141999999999985,0.9822818041292828,0.964877609132014,187.1771047619048,181.0,160.77550952380952,400.0,6.640853533745883e-08
0.8142999999999985,0.9823793486436208,0.965069244123778,188.52971428571428,183.0,161.92804285714286,457.0,5.948231340813237e-08
0.8143999999999985,0.9816316243648529,0.9636007128445284,189.9112142857143,184.0,163.10960476190476,421.0,6.689134890436321e-08
0.8144999999999984,0.9821361427513758,0.9645914675319308,191.1807523809524,185.0,164.22718571428572,424.0,6.463337987039353e-08
0.8145999999999984,0.9815931444406508,0.963525169904328,192.4518238095238,187.0,165.33702857142856,372.0,6.869144364429758e-08
0.8146999999999984,0.9814604452816644,0.9632646782521314,193.82379047619048,188.0,166.4875380952381,414.0,7.25996482930924e-08
0.8147999999999984,0.9812901329263052,0.9629303915678036,195.19284761904763,189.0,167.57553333333334,412.0,6.658927786951097e-08
0.8148999999999984,0.9820109154129028,0.9643455098114272,196.41359523809524,190.0,168.6715142857143,475.0,7.182133998639983e-08
0.8149999999999984,0.9810460207891464,0.962451376341882,197.78402857142856,192.0,169.7928380952381,466.0,8.143566376794809e-08
0.8150999999999984,0.9818938326056798,0.9641155629942616,199.08731428571429,193.0,170.82112857142857,374.0,6.448519096480254e-08
0.8151999999999984,0.9810784775066376,0.9625150441941448,200.1995238095238,194.0,171.81379523809522,396.0,6.516740280737565e-08
0.8152999999999984,0.981810410229365,0.9639517475651256,201.3058523809524,195.0,172.7828380952381,427.0,6.593037160662618e-08
0.8153999999999983,0.980953579756419,0.9622700018152428,202.2622904761905,196.0,173.66659047619046,437.0,7.617830977135753e-08
0.8154999999999983,0.981091371564865,0.9625403569748556,203.4829047619048,197.0,174.75179523809524,445.0,7.761582754284291e-08
0.8155999999999983,0.9809116430791218,0.9621877414103563,204.5841142857143,198.0,175.7749619047619,417.0,8.98821738148925e-08
0.8156999999999983,0.9807891224829356,0.9619473867844855,205.91939523809523,200.0,176.83829047619048,409.0,8.400363871174932e-08
0.8157999999999983,0.9808605434656144,0.9620874919782852,207.0590047619048,201.0,177.85938095238097,469.0,8.62506248644479e-08
0.8158999999999983,0.9806570257981618,0.9616882960476878,208.3465571428572,202.0,178.93649523809523,412.0,9.38003911210572e-08
0.8159999999999983,0.9805602175887425,0.9614984180603878,209.53561904761904,203.0,179.9589619047619,433.0,7.774270582849852e-08
0.8160999999999983,0.9804324599806468,0.9612479197311904,210.6718238095238,204.0,181.06252857142857,461.0,1.1114748788010331e-07
0.8161999999999983,0.9803213751665752,0.9610300889570564,212.12910952380952,206.0,182.2795047619048,571.0,9.034857129108786e-08
0.8162999999999982,0.9801328257846832,0.960660440951147,213.4141809523809,207.0,183.2985809523809,407.0,8.477047885868672e-08
0.8163999999999982,0.9799863333638508,0.9603733087849172,214.6209095238096,208.0,184.3495047619048,436.0,9.520499277826389e-08
0.8164999999999982,0.9797443681097032,0.959899124458368,215.7462095238095,209.0,185.3545380952381,436.0,9.761568631194706e-08
0.8165999999999982,0.9798500601387024,0.9601062284378636,217.0912095238095,210.0,186.43540476190475,484.0,8.808404505789014e-08
0.8166999999999982,0.9787622980626424,0.9579757466926836,218.2846904761905,212.0,187.51110952380952,478.0,1.1058381876871692e-07
0.8167999999999982,0.9792412861347198,0.9589136008134505,219.3386904761905,213.0,188.43639047619047,457.0,1.0434267017078724e-07
0.8168999999999982,0.9795784419965744,0.9595740188453408,220.477,214.0,189.47519047619048,414.0,9.482090468360127e-08
0.8169999999999982,0.9786660343154272,0.9577872960170576,221.71551428571428,215.0,190.5013571428572,453.0,8.929437267379825e-08
0.8170999999999982,0.9793248948558172,0.95907735932312,222.7621095238096,216.0,191.4528380952381,484.0,1.0963876262426453e-07
