selected_lambda,box_size,avg_count,group
0.83,99.0,5.6104,0
0.83,385.0,0.204,0
0.83,222.0,1.0312,0
0.83,376.0,0.2176,0
0.83,398.0,0.1956,0
0.83,204.0,1.2748,0
0.83,189.0,1.578,0
0.83,131.0,3.406,0
0.83,141.0,2.9192,0
0.83,186.0,1.6016,0
0.83,108.0,4.8692,0
0.83,826.0,0.0072,0
0.83,352.0,0.2728,0
0.83,120.0,4.0576,0
0.83,100.0,5.5976,0
0.83,181.0,1.7708,0
0.83,139.0,2.974,0
0.83,117.0,4.1656,0
0.83,644.0,0.0204,0
0.83,96.0,5.8608,0
0.83,107.0,4.8468,0
0.83,159.0,2.312,0
0.83,195.0,1.4448,0
0.83,109.0,4.6888,0
0.83,240.0,0.8452,0
0.83,177.0,1.798,0
0.83,243.0,0.8228,0
0.83,262.0,0.6728,0
0.83,269.0,0.6304,0
0.83,197.0,1.4208,0
0.83,138.0,3.0024,0
0.83,163.0,2.1792,0
0.83,244.0,0.8056,0
0.83,144.0,2.7536,0
0.83,156.0,2.376,0
0.83,451.0,0.116,0
0.83,130.0,3.4068,0
0.83,92.0,6.4644,0
0.83,431.0,0.13,0
0.83,341.0,0.2964,0
0.83,272.0,0.588,0
0.83,283.0,0.5548,0
0.83,214.0,1.1164,0
0.83,149.0,2.6348,0
0.83,91.0,6.4956,0
0.83,248.0,0.7988,0
0.83,102.0,5.338,0
0.83,273.0,0.6016,0
0.83,154.0,2.3788,0
0.83,218.0,1.0864,0
0.83,279.0,0.578,0
0.83,260.0,0.6572,0
0.83,77.0,8.488,0
0.83,151.0,2.5128,0
0.83,311.0,0.4324,0
0.83,210.0,1.1872,0
0.83,81.0,7.928,0
0.83,444.0,0.1124,0
0.83,396.0,0.1872,0
0.83,135.0,3.21,0
0.83,853.0,0.0052,0
0.83,134.0,3.1836,0
0.83,221.0,1.0652,0
0.83,475.0,0.0848,0
0.83,153.0,2.4424,0
0.83,192.0,1.516,0
0.83,302.0,0.4416,0
0.83,250.0,0.75,0
0.83,168.0,1.972,0
0.83,401.0,0.1664,0
0.83,155.0,2.412,0
0.83,167.0,2.0336,0
0.83,289.0,0.5124,0
0.83,160.0,2.2468,0
0.83,290.0,0.5176,0
0.83,402.0,0.172,0
0.83,174.0,1.8388,0
0.83,291.0,0.506,0
0.83,128.0,3.5092,0
0.83,194.0,1.4892,0
0.83,145.0,2.7508,0
0.83,233.0,0.9204,0
0.83,258.0,0.6676,0
0.83,111.0,4.6772,0
0.83,103.0,5.3112,0
0.83,114.0,4.3572,0
0.83,187.0,1.6216,0
0.83,555.0,0.0364,0
0.83,351.0,0.2736,0
0.83,573.0,0.0372,0
0.83,235.0,0.912,0
0.83,208.0,1.256,0
0.83,469.0,0.0868,0
0.83,247.0,0.816,0
0.83,285.0,0.5532,0
0.83,549.0,0.0472,0
0.83,142.0,2.8416,0
0.83,280.0,0.5492,0
0.83,318.0,0.3712,0
0.83,191.0,1.5608,0
0.83,517.0,0.056,0
0.83,404.0,0.162,0
0.83,209.0,1.2396,0
0.83,171.0,1.9428,0
0.83,525.0,0.0548,0
0.83,421.0,0.1444,0
0.83,456.0,0.1112,0
0.83,567.0,0.0428,0
0.83,321.0,0.3752,0
0.83,199.0,1.4028,0
0.83,354.0,0.2536,0
0.83,326.0,0.334,0
0.83,261.0,0.6576,0
0.83,239.0,0.8832,0
0.83,170.0,1.9356,0
0.83,544.0,0.044,0
0.83,324.0,0.362,0
0.83,276.0,0.5548,0
0.83,360.0,0.2632,0
0.83,621.0,0.0264,0
0.83,839.0,0.0036,0
0.83,211.0,1.2016,0
0.83,165.0,2.0768,0
0.83,336.0,0.3344,0
0.83,286.0,0.5344,0
0.83,190.0,1.5484,0
0.83,411.0,0.1512,0
0.83,224.0,1.0312,0
0.83,256.0,0.7268,0
0.83,217.0,1.1108,0
0.83,198.0,1.3956,0
0.83,193.0,1.4804,0
0.83,251.0,0.7272,0
0.83,307.0,0.4052,0
0.83,681.0,0.0196,0
0.83,94.0,6.2116,0
0.83,330.0,0.3508,0
0.83,508.0,0.066,0
0.83,228.0,0.9872,0
0.83,367.0,0.2356,0
0.83,427.0,0.1396,0
0.83,146.0,2.7172,0
0.83,293.0,0.4968,0
0.83,310.0,0.4332,0
0.83,202.0,1.3372,0
0.83,908.0,0.0024,0
0.83,365.0,0.2208,0
0.83,169.0,1.9572,0
0.83,494.0,0.0756,0
0.83,342.0,0.2692,0
0.83,226.0,1.01,0
0.83,236.0,0.924,0
0.83,173.0,1.8692,0
0.83,255.0,0.686,0
0.83,257.0,0.7052,0
0.83,249.0,0.7768,0
0.83,436.0,0.1244,0
0.83,407.0,0.1588,0
0.83,349.0,0.2684,0
0.83,270.0,0.6052,0
0.83,254.0,0.72,0
0.83,282.0,0.538,0
0.83,188.0,1.6432,0
0.83,375.0,0.2196,0
0.83,693.0,0.012,0
0.83,200.0,1.3712,0
0.83,220.0,1.0884,0
0.83,466.0,0.1008,0
0.83,246.0,0.8052,0
0.83,347.0,0.2756,0
0.83,162.0,2.21,0
0.83,281.0,0.5492,0
0.83,196.0,1.4056,0
0.83,253.0,0.7732,0
0.83,252.0,0.7384,0
0.83,185.0,1.6568,0
